id,ACTION
1,0.9147586630430057
2,0.9560812382787885
3,0.9535121647642275
4,0.958070180560667
5,0.9829485061921809
6,0.9675440588911262
7,0.9824704745783283
8,0.9969263855910614
9,0.9254256458144925
10,0.966713682511956
11,0.8496080753731061
12,0.9215027634458601
13,0.9174549046877039
14,0.9174549046877039
15,0.9560812382787885
16,0.9713248219850853
17,0.9174549046877039
18,0.9161351088444118
19,0.9794878423324717
20,0.9579645924243563
21,0.9945952111560008
22,0.9855591921800069
23,0.9634394371569575
24,0.8823414980187572
25,0.9450716909971926
26,0.8872096191467838
27,0.9624353783924356
28,0.8823414980187572
29,0.9754646903411603
30,0.9518059904354377
31,0.9683652655616645
32,0.9464894476826438
33,0.961441751679172
34,0.9824704745783283
35,0.9683652655616645
36,0.9553264908867991
37,0.966486508322987
38,0.9976423707878747
39,0.8756115197524553
40,0.9558071615089291
41,0.8597415568452826
42,0.8872096191467838
43,0.9147586630430057
44,0.9800451212902485
45,0.9491632135755906
46,0.952519092294771
47,0.9696093102884148
48,0.9147586630430057
49,0.9990140335359489
50,0.9624353783924356
51,0.9751687456201527
52,0.9715104843727036
53,0.9715104843727036
54,0.963389237753023
55,0.9696093102884148
56,0.9147586630430057
57,0.9755258561573434
58,0.976129128413445
59,0.9703025634129032
60,0.8872096191467838
61,0.9415529910949356
62,0.9916379462583265
63,0.8653722283020038
64,0.974118672145503
65,0.9935657171489247
66,0.958070180560667
67,0.9193452851939036
68,0.9715645305346297
69,0.9425444905476593
70,0.8653722283020038
71,0.9533956569197832
72,0.9710078806263627
73,0.9450716909971926
74,0.9773511437112019
75,0.9696093102884148
76,0.9639758642294726
77,0.9533956569197832
78,0.961441751679172
79,0.9400557734287134
80,0.9372236183503935
81,0.958070180560667
82,0.9283856334171787
83,0.959109457412333
84,0.9703189696752673
85,0.9087363734354551
86,0.9466772171827714
87,0.9379016419737994
88,0.9443281187861051
89,0.976129128413445
90,0.9296656739436646
91,0.9464894476826438
92,0.9579645924243563
93,0.9665714373549673
94,0.8169439258653474
95,0.9440730570406284
96,0.9240804992927267
97,0.8496080753731061
98,0.9518059904354377
99,0.958070180560667
100,0.9232654052710951
101,0.9217373226824126
102,0.9303548703215899
103,0.9426588787196735
